Município,Quantidade_SUS,Quantidade_Não_SUS
231140 QUIXERAMOBIM,322,-
231150 QUIXERE,25,-
231160 REDENCAO,50,-
231170 RERIUTABA,28,-
231180 RUSSAS,97,121
231190 SABOEIRO,37,-
231195 SALITRE,14,-
231200 SANTANA DO ACARAU,40,-
231210 SANTANA DO CARIRI,21,-
231220 SANTA QUITERIA,51,2
231230 SAO BENEDITO,75,14
231240 SAO GONCALO DO AMARANTE,44,-
231260 SAO LUIS DO CURU,22,-
231270 SENADOR POMPEU,53,-
231290 SOBRAL,814,54
231300 SOLONOPOLE,33,-
231310 TABULEIRO DO NORTE,62,-
231320 TAMBORIL,59,-
231325 TARRAFAS,16,-
231330 TAUA,129,1
231335 TEJUCUOCA,16,-
231340 TIANGUA,124,-
231350 TRAIRI,44,-
231355 TURURU,13,-
231360 UBAJARA,69,-
231370 UMARI,21,-
231375 UMIRIM,13,-
231380 URUBURETAMA,25,-
231390 URUOCA,19,-
231395 VARJOTA,19,-
231400 VARZEA ALEGRE,65,2
231410 VICOSA DO CEARA,74,-
240010 ACARI,37,6
240020 ACU,34,9
240030 AFONSO BEZERRA,16,-
240050 ALEXANDRIA,124,-
240060 ALMINO AFONSO,50,-
240070 ALTO DO RODRIGUES,21,-
240080 ANGICOS,28,-
240090 ANTONIO MARTINS,32,-
240100 APODI,71,-
240110 AREIA BRANCA,34,-
240120 ARES,9,-
240140 BAIA FORMOSA,9,-
240145 BARAUNA,21,-
240150 BARCELONA,1,-
240160 BENTO FERNANDES,15,-
240170 BOM JESUS,10,-
240180 BREJINHO,14,-
240185 CAICARA DO NORTE,6,-
240190 CAICARA DO RIO DO VENTO,8,-
240200 CAICO,141,22
240230 CARAUBAS,32,-
240240 CARNAUBA DOS DANTAS,18,-
240250 CARNAUBAIS,6,-
240260 CEARA-MIRIM,52,-
240270 CERRO CORA,24,-
240280 CORONEL EZEQUIEL,3,-
240290 CORONEL JOAO PESSOA,9,-
240300 CRUZETA,12,-
240310 CURRAIS NOVOS,92,20
240320 DOUTOR SEVERIANO,12,-
240325 PARNAMIRIM,171,15
240330 ENCANTO,8,-
240340 EQUADOR,20,-
240360 EXTREMOZ,20,-
240370 FELIPE GUERRA,15,-
240380 FLORANIA,10,-
240400 FRUTUOSO GOMES,6,-
240420 GOIANINHA,25,-
240430 GOVERNADOR DIX-SEPT ROSADO,12,-
240440 GROSSOS,13,-
240450 GUAMARE,44,-
240485 ITAJA,8,-
240490 ITAU,15,-
240500 JACANA,2,-
240510 JANDAIRA,3,-
240520 JANDUIS,20,-
240530 JANUARIO CICCO,12,-
240540 JAPI,1,-
240550 JARDIM DE ANGICOS,3,-
240560 JARDIM DE PIRANHAS,25,-
240570 JARDIM DO SERIDO,30,2
240580 JOAO CAMARA,29,-
240590 JOAO DIAS,2,-
240600 JOSE DA PENHA,10,-
240610 JUCURUTU,48,-
240620 LAGOA D'ANTA,10,-
240650 LAGOA NOVA,24,-
240670 LAJES,31,-
240690 LUCRECIA,12,-
240700 LUIS GOMES,30,-
240710 MACAIBA,52,6
240720 MACAU,72,-
240725 MAJOR SALES,12,-
240730 MARCELINO VIEIRA,15,-
240740 MARTINS,12,-
240760 MESSIAS TARGINO,16,-
240770 MONTANHAS,6,-
240780 MONTE ALEGRE,14,1
240790 MONTE DAS GAMELEIRAS,13,-
240800 MOSSORO,690,208
240810 NATAL,2278,1292
240820 NISIA FLORESTA,1,24
240830 NOVA CRUZ,43,-
240840 OLHO-D'AGUA DO BORGES,10,-
240860 PARANA,4,-
240880 PARAZINHO,6,-
240890 PARELHAS,50,5
240895 RIO DO FOGO,14,-
240910 PASSA E FICA,30,-
240930 PATU,40,5
240940 PAU DOS FERROS,159,14
240950 PEDRA GRANDE,5,-
240960 PEDRA PRETA,4,-
240980 PEDRO VELHO,11,-
240990 PENDENCIAS,10,-
241000 PILOES,10,-
241010 POCO BRANCO,30,-
241020 PORTALEGRE,41,-
241025 PORTO DO MANGUE,2,-
241030 SERRA CAIADA,6,-
241050 RAFAEL FERNANDES,8,-
241060 RAFAEL GODEIRO,19,-
241070 RIACHO DA CRUZ,24,-
241080 RIACHO DE SANTANA,6,-
241090 RIACHUELO,12,-
241100 RODOLFO FERNANDES,18,-
241105 TIBAU,14,-
241110 RUY BARBOSA,1,-
241120 SANTA CRUZ,121,5
241140 SANTANA DO MATOS,25,-
241142 SANTANA DO SERIDO,11,-
241150 SANTO ANTONIO,50,-
241200 SAO GONCALO DO AMARANTE,56,38
241210 SAO JOAO DO SABUGI,8,-
241220 SAO JOSE DE MIPIBU,48,40
241230 SAO JOSE DO CAMPESTRE,16,-
241240 SAO JOSE DO SERIDO,12,-
241250 SAO MIGUEL,32,-
241255 SAO MIGUEL DO GOSTOSO,3,1
241260 SAO PAULO DO POTENGI,30,1
241280 SAO RAFAEL,19,-
241290 SAO TOME,10,-
241300 SAO VICENTE,14,-
241310 SENADOR ELOI DE SOUZA,1,-
241330 SERRA DE SAO BENTO,12,-
241335 SERRA DO MEL,17,-
241340 SERRA NEGRA DO NORTE,22,-
241355 SERRINHA DOS PINTOS,13,-
241360 SEVERIANO MELO,51,-
241370 SITIO NOVO,4,-
241380 TABOLEIRO GRANDE,14,-
241390 TAIPU,6,-
241400 TANGARA,17,-
241410 TENENTE ANANIAS,27,-
241415 TENENTE LAURENTINO CRUZ,3,-
241420 TIBAU DO SUL,5,-
241440 TOUROS,29,1
241445 TRIUNFO POTIGUAR,12,-
241460 UPANEMA,13,-
241475 VENHA-VER,8,-
241480 VERA CRUZ,12,-
241490 VICOSA,15,-
241500 VILA FLOR,4,-
250010 AGUA BRANCA,20,-
250020 AGUIAR,12,-
250030 ALAGOA GRANDE,46,-
250040 ALAGOA NOVA,28,-
250060 ALHANDRA,10,-
250070 SAO JOAO DO RIO DO PEIXE,32,-
250080 ARACAGI,2,-
250090 ARARA,17,-
250100 ARARUNA,15,-
250110 AREIA,36,-
250130 AROEIRAS,40,-
250150 BANANEIRAS,37,-
250180 BAYEUX,48,-
250190 BELEM,25,-
250200 BELEM DO BREJO DO CRUZ,28,3
250210 BOA VENTURA,-,3
250230 BOM SUCESSO,16,-
250240 BONITO DE SANTA FE,19,-
250250 BOQUEIRAO,29,-
250260 IGARACY,12,-
250280 BREJO DO CRUZ,32,-
250290 BREJO DOS SANTOS,26,-
250300 CAAPORA,43,-
250320 CABEDELO,43,-
250340 CACIMBA DE AREIA,5,-
250350 CACIMBA DE DENTRO,13,-
250370 CAJAZEIRAS,181,62
250400 CAMPINA GRANDE,1529,429
250420 CATINGUEIRA,1,-
250430 CATOLE DO ROCHA,64,-
250440 CONCEICAO,58,-
250460 CONDE,-,100
250480 COREMAS,39,-
250500 CUBATI,16,-
250510 CUITE,67,-
250570 DONA INES,12,-
250600 ESPERANCA,26,-
250620 FREI MARTINHO,18,-
250630 GUARABIRA,110,97
250650 GURJAO,4,-
250660 IBIARA,12,-
250690 ITABAIANA,46,-
250700 ITAPORANGA,48,-
250710 ITAPOROROCA,18,-
250730 JACARAU,8,-
250740 JERICO,12,-
250750 JOAO PESSOA,1993,1175
250770 JUAZEIRINHO,18,1
250780 JUNCO DO SERIDO,14,-
250790 JURIPIRANGA,12,-
250800 JURU,11,-
250820 LAGOA DE DENTRO,19,-
250830 LAGOA SECA,28,-
250840 LASTRO,10,-
250890 MAMANGUAPE,110,-
250910 MARI,7,-
250920 MASSARANDUBA,51,-
250970 MONTEIRO,63,15
250990 NATUBA,19,-
251010 NOVA FLORESTA,19,-
251040 OLHO D'AGUA,1,-
251080 PATOS,294,116
251090 PAULISTA,31,-
251110 PEDRA LAVRADA,20,-
251120 PEDRAS DE FOGO,47,-
251130 PIANCO,127,8
251140 PICUI,100,-
251150 PILAR,18,1
251180 PIRPIRITUBA,2,-
251200 POCINHOS,50,-
251210 POMBAL,94,-
251230 PRINCESA ISABEL,51,4
251250 QUEIMADAS,43,-
251280 RIACHO DOS CAVALOS,8,-
251320 SANTA CRUZ,13,-
251335 SANTA INES,10,-
251340 SANTA LUZIA,36,-
251370 SANTA RITA,221,14
251390 SAO BENTO,47,-
251420 SAO JOSE DA LAGOA TAPADA,3,-
251430 SAO JOSE DE CAIANA,15,-
251450 SAO JOSE DE PIRANHAS,17,-
251490 SAO MAMEDE,26,-
251530 SAPE,78,1
251540 SAO VICENTE DO SERIDO,24,-
251550 SERRA BRANCA,58,-
251570 SERRA GRANDE,12,-
251590 SERRARIA,7,-
251600 SOLANEA,34,-
251610 SOLEDADE,22,-
251620 SOUSA,93,48
251630 SUME,64,-
251650 TAPEROA,52,-
251660 TAVARES,23,-
251670 TEIXEIRA,39,-
251690 UIRAUNA,47,-
251700 UMBUZEIRO,6,-
260005 ABREU E LIMA,24,246
260010 AFOGADOS DA INGAZEIRA,139,30
260020 AFRANIO,55,-
260030 AGRESTINA,76,32
260040 AGUA PRETA,50,-
260050 AGUAS BELAS,33,-
260060 ALAGOINHA,24,-
260070 ALIANCA,26,-
260080 ALTINHO,24,-
260090 AMARAJI,31,-
260100 ANGELIM,12,-
260105 ARACOIABA,8,-
260110 ARARIPINA,238,28
260120 ARCOVERDE,154,30
260130 BARRA DE GUABIRABA,17,-
260140 BARREIROS,95,-
260150 BELEM DE MARIA,9,-
260160 BELEM DE SAO FRANCISCO,39,-
260170 BELO JARDIM,51,36
260180 BETANIA,24,-
260190 BEZERROS,171,34
260200 BODOCO,29,-
260210 BOM CONSELHO,44,-
260220 BOM JARDIM,48,-
260230 BONITO,52,-
260240 BREJAO,16,-
260250 BREJINHO,7,-
260260 BREJO DA MADRE DE DEUS,49,60
260270 BUENOS AIRES,17,-
260280 BUIQUE,67,-
260290 CABO DE SANTO AGOSTINHO,183,184
260300 CABROBO,76,-
260310 CACHOEIRINHA,26,-
260320 CAETES,30,-
260330 CALCADO,11,-
260340 CALUMBI,17,-
260345 CAMARAGIBE,29,105
260350 CAMOCIM DE SAO FELIX,15,-
260360 CAMUTANGA,12,-
260370 CANHOTINHO,32,-
260380 CAPOEIRAS,18,-
260390 CARNAIBA,15,-
260392 CARNAUBEIRA DA PENHA,11,-
260400 CARPINA,94,21
260410 CARUARU,875,237
260415 CASINHAS,35,-
260420 CATENDE,27,-
260430 CEDRO,18,-
260440 CHA DE ALEGRIA,10,-
260450 CHA GRANDE,30,2
260460 CONDADO,34,-
260470 CORRENTES,29,-
260480 CORTES,39,-
260490 CUMARU,21,-
260500 CUPIRA,20,-
260510 CUSTODIA,38,38
260515 DORMENTES,27,-
260520 ESCADA,68,13
260530 EXU,32,-
260540 FEIRA NOVA,17,-
260545 FERNANDO DE NORONHA,17,-
260560 FLORES,28,-
260570 FLORESTA,61,10
260580 FREI MIGUELINHO,11,-
260590 GAMELEIRA,23,-
260600 GARANHUNS,262,90
260610 GLORIA DO GOITA,23,-
260620 GOIANA,122,39
260630 GRANITO,19,-
260640 GRAVATA,64,42
260650 IATI,25,-
260660 IBIMIRIM,26,-
260670 IBIRAJUBA,20,-
260680 IGARASSU,100,209
260690 IGUARACY,16,-
260700 INAJA,13,-
260710 INGAZEIRA,4,-
260720 IPOJUCA,53,-
260730 IPUBI,45,-
260750 ITAIBA,51,-
260760 ILHA DE ITAMARACA,14,-
260765 ITAMBE,42,-
260770 ITAPETIM,25,-
260775 ITAPISSUMA,6,-
260780 ITAQUITINGA,14,-
260790 JABOATAO DOS GUARARAPES,730,114
260795 JAQUEIRA,32,-
260800 JATAUBA,19,-
260805 JATOBA,23,-
260810 JOAO ALFREDO,33,-
260820 JOAQUIM NABUCO,14,-
260825 JUCATI,6,-
260830 JUPI,17,-
260840 JUREMA,27,-
260845 LAGOA DO CARRO,13,-
260850 LAGOA DE ITAENGA,27,-
260860 LAGOA DO OURO,45,-
260870 LAGOA DOS GATOS,17,-
260875 LAGOA GRANDE,35,-
260880 LAJEDO,44,-
260890 LIMOEIRO,104,25
260900 MACAPARANA,52,-
260910 MACHADOS,15,-
260915 MANARI,27,-
260920 MARAIAL,13,-
260930 MIRANDIBA,9,-
260940 MORENO,179,-
260950 NAZARE DA MATA,40,-
260960 OLINDA,362,297
260970 OROBO,32,-
260980 OROCO,29,-
260990 OURICURI,76,6
261000 PALMARES,270,21
261010 PALMEIRINA,14,-
261020 PANELAS,26,-
261030 PARANATAMA,27,-
261040 PARNAMIRIM,28,-
261050 PASSIRA,39,-
261060 PAUDALHO,98,37
261070 PAULISTA,374,92
261080 PEDRA,22,-
261090 PESQUEIRA,105,46
261100 PETROLANDIA,120,8
261110 PETROLINA,491,283
261120 POCAO,23,-
261130 POMBOS,35,-
261140 PRIMAVERA,4,-
261150 QUIPAPA,19,-
261153 QUIXABA,13,-
261160 RECIFE,6588,2874
261170 RIACHO DAS ALMAS,38,-
261180 RIBEIRAO,38,-
261190 RIO FORMOSO,16,-
261200 SAIRE,10,20
261210 SALGADINHO,5,-
261220 SALGUEIRO,155,20
261230 SALOA,30,-
261240 SANHARO,14,-
261245 SANTA CRUZ,24,-
261247 SANTA CRUZ DA BAIXA VERDE,16,-
261250 SANTA CRUZ DO CAPIBARIBE,78,6
261255 SANTA FILOMENA,18,-
261260 SANTA MARIA DA BOA VISTA,30,-
261280 SANTA TEREZINHA,19,-
261290 SAO BENEDITO DO SUL,28,-
261300 SAO BENTO DO UNA,51,-
261310 SAO CAITANO,30,-
261320 SAO JOAO,29,-
261330 SAO JOAQUIM DO MONTE,34,-
261340 SAO JOSE DA COROA GRANDE,26,-
261350 SAO JOSE DO BELMONTE,32,1
261360 SAO JOSE DO EGITO,82,8
261370 SAO LOURENCO DA MATA,150,-
261380 SAO VICENTE FERRER,27,-
261390 SERRA TALHADA,423,105
261400 SERRITA,32,-
261410 SERTANIA,54,19
261420 SIRINHAEM,26,-
261430 MOREILANDIA,20,-
261440 SOLIDAO,13,-
261450 SURUBIM,198,5
261460 TABIRA,35,20
261480 TACARATU,21,-
261485 TAMANDARE,30,-
261500 TAQUARITINGA DO NORTE,56,-
261510 TEREZINHA,14,-
261520 TERRA NOVA,11,-
261530 TIMBAUBA,50,97
261540 TORITAMA,44,-
261550 TRACUNHAEM,11,-
261560 TRINDADE,30,44
261570 TRIUNFO,24,-
261580 TUPANATINGA,21,-
261590 TUPARETAMA,35,-
261600 VENTUROSA,24,-
261610 VERDEJANTE,15,-
261618 VERTENTE DO LERIO,4,-
261620 VERTENTES,62,-
261630 VICENCIA,40,-
261640 VITORIA DE SANTO ANTAO,343,133
261650 XEXEU,14,-
270010 AGUA BRANCA,25,-
270020 ANADIA,25,-
270030 ARAPIRACA,852,211
270040 ATALAIA,44,-
270070 BATALHA,35,-
270100 BOCA DA MATA,14,-
270120 CACIMBINHAS,3,-
270130 CAJUEIRO,26,-
270140 CAMPO ALEGRE,42,-
270170 CAPELA,50,-
270210 COLONIA LEOPOLDINA,33,-
270230 CORURIPE,275,-
270235 CRAIBAS,8,-
270240 DELMIRO GOUVEIA,86,-
270280 FLEXEIRAS,15,-
270290 GIRAU DO PONCIANO,48,-
270300 IBATEGUARA,3,-
270310 IGACI,14,-
270380 JOAQUIM GOMES,50,-
270400 JUNQUEIRO,35,-
270410 LAGOA DA CANOA,3,-
270420 LIMOEIRO DE ANADIA,14,-
270430 MACEIO,2366,851
270440 MAJOR ISIDORO,31,-
270450 MARAGOGI,4,-
270470 MARECHAL DEODORO,3,-
270500 MATA GRANDE,36,-
270510 MATRIZ DE CAMARAGIBE,24,-
270550 MURICI,53,-
270570 OLHO D'AGUA DAS FLORES,46,1
270630 PALMEIRA DOS INDIOS,95,18
270640 PAO DE ACUCAR,52,-
270660 PAULO JACINTO,16,-
270670 PENEDO,95,14
270680 PIACABUCU,18,-
270690 PILAR,50,-
270710 PIRANHAS,42,-
270730 PORTO CALVO,97,18
270760 QUEBRANGULO,28,-
270770 RIO LARGO,41,40
270800 SANTANA DO IPANEMA,128,-
270820 SAO BRAS,3,-
270830 SAO JOSE DA LAJE,50,-
270840 SAO JOSE DA TAPERA,31,-
270850 SAO LUIS DO QUITUNDE,27,-
270860 SAO MIGUEL DOS CAMPOS,116,8
270880 SAO SEBASTIAO,6,-
270910 TAQUARANA,1,-
270915 TEOTONIO VILELA,68,-
270920 TRAIPU,9,-
270930 UNIAO DOS PALMARES,116,12
270940 VICOSA,40,-
280020 AQUIDABA,32,-
280030 ARACAJU,1333,811
280067 BOQUIM,18,-
280120 CANINDE DE SAO FRANCISCO,20,-
280130 CAPELA,80,-
280140 CARIRA,1,-
280210 ESTANCIA,165,24
280230 FREI PAULO,1,-
280290 ITABAIANA,130,29
280300 ITABAIANINHA,30,-
280340 JAPOATA,21,-
280350 LAGARTO,156,17
280360 LARANJEIRAS,1,-
280450 NOSSA SENHORA DA GLORIA,48,-
280480 NOSSA SENHORA DO SOCORRO,48,-
280540 POCO REDONDO,18,-
280550 POCO VERDE,12,-
280570 PROPRIA,53,-
280580 RIACHAO DO DANTAS,1,-
280590 RIACHUELO,56,-
280610 ROSARIO DO CATETE,13,-
280670 SAO CRISTOVAO,30,6
280710 SIMAO DIAS,19,-
290010 ABAIRA,9,-
290020 ABARE,25,-
290030 ACAJUTIBA,8,-
290035 ADUSTINA,12,-
290040 AGUA FRIA,20,-
290050 ERICO CARDOSO,15,-
290060 AIQUARA,13,-
290070 ALAGOINHAS,153,75
290080 ALCOBACA,51,8
290100 AMARGOSA,69,-
290110 AMELIA RODRIGUES,16,-
290115 AMERICA DOURADA,26,-
290120 ANAGE,33,-
290130 ANDARAI,32,-
290135 ANDORINHA,22,1
290140 ANGICAL,6,-
290150 ANGUERA,6,-
290160 ANTAS,142,-
290190 APORA,1,-
290200 ARACATU,33,-
290205 ARACAS,23,-
290210 ARACI,60,-
290240 AURELINO LEAL,40,-
290250 BAIANOPOLIS,28,-
290260 BAIXA GRANDE,36,-
290270 BARRA,82,1
290280 BARRA DA ESTIVA,46,19
290290 BARRA DO CHOCA,32,-
290300 BARRA DO MENDES,26,-
290320 BARREIRAS,388,72
290323 BARRO ALTO,22,1
290327 BARROCAS,29,-
290330 BARRO PRETO,9,-
290340 BELMONTE,40,-
290350 BELO CAMPO,50,-
290360 BIRITINGA,14,-
290380 BOA VISTA DO TUPIM,14,-
290390 BOM JESUS DA LAPA,122,-
290395 BOM JESUS DA SERRA,14,14
290400 BONINAL,24,-
290405 BONITO,16,-
290410 BOQUIRA,23,-
290420 BOTUPORA,43,-
290430 BREJOES,19,-
290440 BREJOLANDIA,35,-
290450 BROTAS DE MACAUBAS,15,-
290460 BRUMADO,112,12
290475 BURITIRAMA,19,-
290480 CAATIBA,14,-
290485 CABACEIRAS DO PARAGUACU,1,-
290490 CACHOEIRA,83,-
290500 CACULE,50,2
290510 CAEM,36,-
290520 CAETITE,154,22
290530 CAFARNAUM,33,-
290550 CALDEIRAO GRANDE,39,-
290560 CAMACAN,67,-
290570 CAMACARI,257,295
290580 CAMAMU,17,-
290590 CAMPO ALEGRE DE LOURDES,36,41
290600 CAMPO FORMOSO,75,12
290610 CANAPOLIS,24,-
290620 CANARANA,36,-
290630 CANAVIEIRAS,65,10
290640 CANDEAL,7,-
290650 CANDEIAS,46,50
290660 CANDIBA,37,-
290670 CANDIDO SALES,57,-
290680 CANSANCAO,52,-
290682 CANUDOS,41,-
290685 CAPELA DO ALTO ALEGRE,11,-
290687 CAPIM GROSSO,57,-
290689 CARAIBAS,3,-
290690 CARAVELAS,59,-
290700 CARDEAL DA SILVA,5,-
290710 CARINHANHA,30,-
290720 CASA NOVA,41,-
290730 CASTRO ALVES,50,10
290750 CATU,57,55
290755 CATURAMA,8,-
290760 CENTRAL,42,-
290770 CHORROCHO,15,-
290780 CICERO DANTAS,37,3
290790 CIPO,30,-
290800 COARACI,50,-
290810 COCOS,31,-
290820 CONCEICAO DA FEIRA,5,-
290830 CONCEICAO DO ALMEIDA,36,-
290840 CONCEICAO DO COITE,119,95
290850 CONCEICAO DO JACUIPE,42,12
290860 CONDE,15,-
290870 CONDEUBA,16,-
290890 CORACAO DE MARIA,32,-
290900 CORDEIROS,5,-
290910 CORIBE,36,-
290920 CORONEL JOAO SA,9,-
290930 CORRENTINA,35,5
290940 COTEGIPE,29,-
290950 CRAVOLANDIA,24,-
290960 CRISOPOLIS,23,-
290970 CRISTOPOLIS,69,-
290980 CRUZ DAS ALMAS,73,22
290990 CURACA,26,-
291005 DIAS D'AVILA,62,32
291010 DOM BASILIO,14,-
291030 ELISIO MEDRADO,12,-
291040 ENCRUZILHADA,49,-
291050 ENTRE RIOS,65,-
291060 ESPLANADA,40,-
291070 EUCLIDES DA CUNHA,65,-
291072 EUNAPOLIS,109,87
291077 FEIRA DA MATA,6,-
291080 FEIRA DE SANTANA,930,371
291085 FILADELFIA,31,-
291110 FORMOSA DO RIO PRETO,29,-
291120 GANDU,64,4
291130 GENTIO DO OURO,18,-
291150 GONGOGI,5,-
291160 GOVERNADOR MANGABEIRA,2,40
291170 GUANAMBI,180,36
291180 GUARATINGA,28,-
291190 IACU,34,-
291200 IBIASSUCE,34,-
291210 IBICARAI,32,-
291230 IBICUI,21,-
291240 IBIPEBA,11,33
291250 IBIPITANGA,14,-
291260 IBIQUERA,2,-
291270 IBIRAPITANGA,30,-
291280 IBIRAPUA,23,-
291290 IBIRATAIA,60,-
291300 IBITIARA,30,32
291310 IBITITA,48,1
291320 IBOTIRAMA,55,28
291330 ICHU,22,-
291340 IGAPORA,29,-
291345 IGRAPIUNA,8,-
291350 IGUAI,80,4
291360 ILHEUS,492,213
291370 INHAMBUPE,38,-
291380 IPECAETA,9,-
291390 IPIAU,91,39
291400 IPIRA,43,1
291410 IPUPIARA,24,-
291420 IRAJUBA,29,-
291430 IRAMAIA,16,-
291440 IRAQUARA,47,-
291450 IRARA,32,-
291460 IRECE,188,20
291465 ITABELA,46,-
291470 ITABERABA,212,3
291480 ITABUNA,473,101
291490 ITACARE,61,-
291500 ITAETE,11,-
291510 ITAGI,8,-
291520 ITAGIBA,5,-
291530 ITAGIMIRIM,20,-
291535 ITAGUACU DA BAHIA,24,-
291540 ITAJU DO COLONIA,12,-
291550 ITAJUIPE,60,-
291560 ITAMARAJU,83,1
291580 ITAMBE,50,-
291600 ITANHEM,54,-
291610 ITAPARICA,52,-
291630 ITAPEBI,12,-
291640 ITAPETINGA,78,44
291650 ITAPICURU,54,-
291660 ITAPITANGA,16,-
291670 ITAQUARA,19,-
291680 ITARANTIM,30,-
291685 ITATIM,12,-
291690 ITIRUCU,85,-
291700 ITIUBA,40,-
291710 ITORORO,41,-
291720 ITUACU,24,-
291730 ITUBERA,33,-
291733 IUIU,14,-
291735 JABORANDI,30,-
291740 JACARACI,29,-
291750 JACOBINA,144,55
291760 JAGUAQUARA,117,-
291770 JAGUARARI,32,-
291800 JEQUIE,491,169
291810 JEREMOABO,31,-
291820 JIQUIRICA,30,-
291830 JITAUNA,14,-
291835 JOAO DOURADO,32,-
291840 JUAZEIRO,469,46
291845 JUCURUCU,24,-
291850 JUSSARA,31,-
291855 JUSSARI,37,-
291860 JUSSIAPE,16,-
291875 LAGOA REAL,17,-
291880 LAJE,41,-
291905 LAJEDO DO TABOCAL,27,-
291915 LAPAO,50,-
291920 LAURO DE FREITAS,566,144
291930 LENCOIS,10,-
291940 LICINIO DE ALMEIDA,20,-
291950 LIVRAMENTO DE NOSSA SENHORA,51,38
291955 LUIS EDUARDO MAGALHAES,90,45
291960 MACAJUBA,20,-
291970 MACARANI,27,-
291980 MACAUBAS,67,15
291990 MACURURE,20,-
291992 MADRE DE DEUS,28,4
292000 MAIQUINIQUE,14,-
292010 MAIRI,27,-
292020 MALHADA,21,-
292045 MANSIDAO,8,-
292050 MARACAS,42,-
292060 MARAGOGIPE,14,-
292080 MARCIONILIO SOUZA,19,-
292100 MATA DE SAO JOAO,65,22
292105 MATINA,21,-
292110 MEDEIROS NETO,40,-
292120 MIGUEL CALMON,87,-
292130 MILAGRES,21,-
292140 MIRANGABA,3,-
292150 MONTE SANTO,61,-
292160 MORPARA,2,-
292170 MORRO DO CHAPEU,47,9
292180 MORTUGABA,24,-
292190 MUCUGE,32,-
292200 MUCURI,69,28
292205 MULUNGU DO MORRO,34,-
292210 MUNDO NOVO,32,-
292230 MURITIBA,40,-
292240 MUTUIPE,45,-
292250 NAZARE,50,-
292265 NORDESTINA,30,-
292270 NOVA CANAA,30,-
292273 NOVA FATIMA,5,-
292290 NOVA SOURE,19,-
292300 NOVA VICOSA,64,-
292310 OLINDINA,23,-
292320 OLIVEIRA DOS BREJINHOS,13,-
292330 OURICANGAS,15,-
292335 OUROLANDIA,17,-
292340 PALMAS DE MONTE ALTO,54,-
292360 PARAMIRIM,81,8
292370 PARATINGA,36,-
292380 PARIPIRANGA,18,3
292390 PAU BRASIL,13,-
292400 PAULO AFONSO,165,26
292405 PE DE SERRA,8,-
292430 PIATA,26,-
292440 PILAO ARCADO,30,-
292450 PINDAI,24,-
292460 PINDOBACU,58,-
292465 PINTADAS,6,5
292470 PIRIPA,17,-
292480 PIRITIBA,25,-
292490 PLANALTINO,27,-
292500 PLANALTO,59,-
292510 POCOES,57,-
292520 POJUCA,135,12
292525 PONTO NOVO,37,-
292530 PORTO SEGURO,154,38
292540 POTIRAGUA,21,-
292550 PRADO,42,-
292560 PRESIDENTE DUTRA,17,-
292575 PRESIDENTE TANCREDO NEVES,17,-
292580 QUEIMADAS,50,-
292590 QUIJINGUE,17,-
292595 RAFAEL JAMBEIRO,22,-
292600 REMANSO,42,37
292610 RETIROLANDIA,24,-
292620 RIACHAO DAS NEVES,29,-
292630 RIACHAO DO JACUIPE,115,6
292640 RIACHO DE SANTANA,59,-
292650 RIBEIRA DO AMPARO,11,-
292660 RIBEIRA DO POMBAL,91,11
292670 RIO DE CONTAS,16,-
292690 RIO DO PIRES,27,-
292700 RIO REAL,57,-
292720 RUY BARBOSA,113,7
292730 SALINAS DA MARGARIDA,9,-
292740 SALVADOR,5371,2614
292750 SANTA BARBARA,10,-
292770 SANTA CRUZ CABRALIA,22,-
292790 SANTA INES,28,-
292800 SANTALUZ,108,4
292810 SANTA MARIA DA VITORIA,48,11
292820 SANTANA,36,-
292830 SANTANOPOLIS,13,-
292840 SANTA RITA DE CASSIA,24,-
292850 SANTA TERESINHA,28,-
292860 SANTO AMARO,86,7
292870 SANTO ANTONIO DE JESUS,240,123
292880 SANTO ESTEVAO,89,23
292890 SAO DESIDERIO,24,-
292895 SAO DOMINGOS,20,-
292900 SAO FELIX,85,5
292905 SAO FELIX DO CORIBE,22,27
292910 SAO FELIPE,18,-
292920 SAO FRANCISCO DO CONDE,33,1
292925 SAO GABRIEL,34,-
292930 SAO GONCALO DOS CAMPOS,36,-
292940 SAO MIGUEL DAS MATAS,29,-
292950 SAO SEBASTIAO DO PASSE,53,-
292960 SAPEACU,77,-
292970 SATIRO DIAS,25,-
292975 SAUBARA,13,-
292980 SAUDE,39,-
292990 SEABRA,98,8
293000 SEBASTIAO LARANJEIRAS,20,-
293010 SENHOR DO BONFIM,72,50
293015 SERRA DO RAMALHO,31,-
293020 SENTO SE,32,-
293030 SERRA DOURADA,37,-
293040 SERRA PRETA,25,-
293050 SERRINHA,168,28
293060 SERROLANDIA,33,-
293070 SIMOES FILHO,72,4
293075 SITIO DO MATO,17,-
293077 SOBRADINHO,54,-
293080 SOUTO SOARES,12,-
293090 TABOCAS DO BREJO VELHO,32,-
293100 TANHACU,16,-
293105 TANQUE NOVO,30,-
293110 TANQUINHO,20,-
293120 TAPEROA,26,-
293130 TAPIRAMUTA,33,-
293135 TEIXEIRA DE FREITAS,217,73
293150 TEOFILANDIA,17,-
293160 TEOLANDIA,24,-
293180 TREMEDAL,19,-
293190 TUCANO,30,28
293200 UAUA,24,-
293210 UBAIRA,71,-
293220 UBAITABA,100,-
293230 UBATA,41,-
293240 UIBAI,30,-
